# theta[arcmin]            xi_p            xi_m            xi_x               w          sqrt_D       sqrt_Dcor          n_pair
        1.13863  1.07353474e-04  9.34829300e-06 -1.95949332e-05  2.36040000e+05       2.904e-05       2.882e-05          236040
        1.47620  4.25777224e-05  4.74452929e-06 -1.18149224e-05  3.97066000e+05       2.261e-05       2.233e-05          397066
        1.91386  8.60499535e-05 -1.63779980e-05  1.10286104e-05  6.67176000e+05       1.771e-05       1.735e-05          667176
        2.48126  6.64555770e-05  1.81670850e-05  7.82772103e-06  1.12013800e+06       1.402e-05       1.355e-05         1120138
        3.21689  4.15210847e-05  2.17079661e-05  2.94244668e-06  1.87744400e+06       1.122e-05       1.063e-05         1877444
        4.17061  3.44416997e-05  2.04443295e-05 -1.39923252e-06  3.14209200e+06       9.140e-06       8.401e-06         3142092
        5.40709  3.16546217e-05  1.78249302e-05 -3.08742290e-07  5.25355200e+06       7.602e-06       6.680e-06         5253552
        7.01015  2.43640054e-05  1.49670501e-05  2.65465945e-07  8.76100800e+06       6.454e-06       5.329e-06         8761008
        9.08847  1.92534345e-05  8.60733607e-06  2.25071832e-06  1.45940260e+07       5.589e-06       4.247e-06        14594026
       11.78296  2.74805236e-05  1.09013710e-05  4.68408535e-07  2.42442440e+07       4.951e-06       3.377e-06        24244244
       15.27630  1.59678606e-05  7.34516065e-06 -1.53622015e-06  4.01201620e+07       4.536e-06       2.680e-06        40120162
       19.80531  1.13482016e-05  8.03131597e-06 -1.14102720e-06  6.60976100e+07       4.248e-06       2.122e-06        66097610
       25.67706  9.28053508e-06  4.29891015e-06  4.32046206e-07  1.08088916e+08       3.983e-06       1.674e-06       108088916
       33.28963  5.24227533e-06  6.49750201e-06  4.43105516e-07  1.75555422e+08       4.029e-06       1.338e-06       175555422
       43.15912  4.99684748e-06  4.96862430e-06 -2.99864342e-08  2.80394134e+08       4.700e-06       1.062e-06       280394134
       55.95465  5.78935599e-06  4.72255659e-06  2.03296024e-07  4.45578378e+08       4.674e-06       7.656e-07       445578378
       72.54372  2.74967289e-06  3.10462683e-06  4.79349383e-07  6.81783206e+08       5.023e-06       6.577e-07       681783206
       94.05101  3.04153833e-06  4.10537735e-06  2.35900143e-07  1.01546828e+09       7.818e-06       5.612e-07      1015468276
      121.93463  8.93372546e-07  2.24479798e-06  1.48094110e-07  1.44685826e+09       9.184e-06       3.835e-07      1446858260
      158.08501  3.89751372e-07  1.76721305e-06 -1.34617628e-07  1.89031498e+09       1.099e-05       3.847e-07      1890314984
